text,True_Label,Prediction_Model1,Prediction_Model2
d! Claim the BARAHA B0NUS 2023P! Big events only for celebrate the 2023 new year! web: baraha-b.site,spam,ham,spam
"<REAL NAME>, Come and get your Welcome bonus up to 2,000 PHP! And more prizes here only on T1Bet! Register and log in your account now! t1bet6ph.com",spam,ham,spam
"<REAL NAME>, Everyday is Lucky here W+! Earn more than Php400 up to .5% weekly commission rate! Click our website! winplusrich.com",spam,spam,ham
"<REAL NAME>, Let's WINE UP! Deposit daily and WIN BIG PRIZES up to PHP8,888 only here at JACKPOTCITY! Click and Register now @ jackpotcityfree.com",spam,ham,spam
"Hi <REAL NAME>, You're invited at W+ Event!  Come & join to win HONDA CBR150R, + visit our VIP REWARD PLAN ! click now wpdito11.com",spam,ham,spam
Get 2888 ₱ for free. Click; https://xt5746.com ,spam,spam,ham
"<REAL NAME>, Get 100% DEPOSIT BONUS on Jackpot City! Register now and get FREE MONEY! jackpotcityph10.com",spam,ham,spam
"[GCASH. BET] P1 win P126,821? Come to claim your luck http://gaming0063.quest/nOf P100 Get P100, P200 Get P200, P300 Get P300 ... 100k Get 100k!!!",spam,ham,spam
"Hello, new free money bonus 550 with no deposit condition, please login https://os5524.com/ to get free money 550 ! first come first served!!",spam,ham,spam
"<REAL NAME>, Celebrate International Women's Day with W+! Receive a FREE PHP20 gift! Don't miss out! surewinph0.com ",spam,ham,spam
"[BDO NOTICE] : We need to Lock your #bdoSavings Account due to your last transaction, Please visit the link to Unlock: accountupdate-bdo.live",spam,ham,spam
"Hurry <REAL NAME>,Play now at SUGARPLAY, and Get Daily Sign-in BONUS up to PHP150!Join now and recieve more rewards! sugarbetna1.com",spam,ham,spam
"[BDO NOTICE]: We need to Lock your #BDO access Account due to Sim Registration, Please visit: https://bdoonlineapp.page.link/Login to regain your access.",spam,ham,spam
"Dear user, your ac count has a cash deposit of 199 P, please log in; https://www.fse281.xyz   To Receive",spam,ham,spam
"Hello kumusta po😘 It is with our great pleasure to invite you and be part as we proudly celebrate BIOESSENCE MEGAMALL 's  28th year  Anniversary, Together lets enjoy this moment with lots of promo, give aways and free treatment too,  see you on May 13, Saturday, for confirmation pls call or txt me on this number, Ms.Grace ❣️",spam,ham,spam
"<REAL NAME>, Share More, Earn More: Lifetime Benefits up to P79,100 + Uncapped 1% Bonus at UNIBET! Visit uninowph0.com",spam,ham,spam
"W19 Games, official partner with GCash, the only one platform accept GCash now in Philippines!lnnk.in/iFfo",spam,ham,spam
BDO Advisory:  Your account will get locked. Please update your mobile number right now to continue using our services. Click here: my-bdo-advisory.click,spam,spam,ham
"B D O Advisory:  Your mobile number is currently suspended, if your number still active, verify here: mybankodeoroupdates.com to continue receiving OTP.",spam,ham,spam
"<REAL NAME>, Join W+ now! Get 100% welcome bonus PHP1,000 + 3% Gcash Deposit Bonus. Enjoy 7% Daily Cashback up to 60,000! wpmines3.com",spam,ham,spam
Ano? Daily cashback at P777 na bonus? Halika at subukan lamang sa W19 Games! w19b1.xyz,spam,ham,spam
BDO-WARNING:  A suspicious login was detected from your account. Visit: mybdoaccess.me/reset to change your information now.,spam,ham,spam
"<REAL NAME> Sa SugarPlay, may 100% welcome bonus na hanggang 2,000 + 3% Deposit bonus! Huwag palampasin ang kasiyahan! sgbetpera.com",spam,ham,spam
-=Happy Every Day=- RBET  9393999.com Good LUCK! Ibigay $1888P Cash !Cash !Cash !,spam,ham,spam
Ano? Daily cashback at ?777 na bonus? Halika at subukan lamang sa W19 Games! w19w11.xyz,spam,ham,spam
Get up to 88P FREE with JILI APP Download! Link: ss.sala9.com/register,spam,ham,spam
"Mga nangungunang laro sa casino, bingo, at mga s10t machine, magrehistro at mag-deposito ng P100 upang makatanggap ng 100% cashback award. p777b5.xyz",spam,spam,ham
"Good Day !  Are you a CREDITCARDHOLDER FROM OTHER BANK ??  We have great news! Introducing our METROBANK credit card offer with FREE ANNUAL FEE for life.  Enjoy exclusive benefits and financial freedom.  Just Reply ""YES"" to learn more and apply today. Don't miss out!""  It is a very EASY PHONE APPLICATION with EASY APPROVAL processing.",spam,ham,spam
Luck is no accident. You are simply LUCKY!!  Join us and Cl@im up to P3000!! FOR FREE!!! Reg1ster here at piy.life/76,spam,ham,spam
"Tito, nagdeposito lang ako ng P177 sa 177BET at nakakuha ako ng 100% cash. Nanalo ako ng P53627. Halika, huwag sabihin kahit kanino! 177bet2.loan",spam,ham,spam
Magdeposito ng P177 sa 177BET at makakuha ng P177 cash 4k80xac.loan,spam,ham,spam
Magdeposito ng P177 sa 177BET at makakuha ng P177 cash 4k80xac.loan,spam,ham,spam
"Need extra budget for house improvement, tuition fees and groceries?  Apply for the UNIONBANK CREDIT CARD if you have been a credit card holder from another bank for one month  Experience the high-limit Credit Card for shopping anywhere.  APPLY NOW! just message our processing team on Viber at 09628328966",spam,spam,ham
Celebrate Weekend GoJackpot Christmas 12.12 Golden Egg For Unlimited Free 588 bonus ! Get PAYDAY Bonus 6888 Today & Free 777 For New at https://GoJackpot1.vegas,spam,ham,spam
Welcome to GoJackpot! Enjoy Free 777 + 177 sign-up bonus. Get 6888 on PayDay and 588 Christmas 12.12 Golden Egg bonus. Play & Jackpot at https://gojackpot1.icu,spam,ham,spam
I-download ang APP at makatanggap ng P17 cash xcx12.bid,spam,ham,spam
"Embrace Winplus joy! Free P588 red packet, WEEKDAYS Unlimited 999 bonus, and 588 Free on 1st deposit. Explore at https://winplus9.icu",spam,ham,spam
Win Big Today at WinningPlus! New Players Remember Get 153% Extra Bonus & Get 588p & 388p For Free! Explore More Promotions & Vip Clup at https://WinPlus8.icu,spam,ham,spam
"Double your fun at Sugarplay11.icu ! Claim your 28,888 Giveaway Promotion and let the winning spree begin",spam,ham,spam
"NEED CASH? We are here for you.  We offer EASY CASH LOANS today.  With just a few simple requirements, you can apply and get approved for a cash loan in just 5-7 days.  Just message our processing team via Viber at 09630695831  Thank you",spam,ham,spam
Get P298 for free at with your m0bile phone 1OO % bonus on your topup clickhere.cx/X7A8ChbqyLiX8td,spam,ham,spam
"Kumuha ng hanggang P1,777 nang libre gamit ang iyong mobile phone 1OO% na bonus sa unang deposito bv6ak.bid",spam,ham,spam
"Hurry! WinPlus Saturday special T.G.I.S! Enjoy Free 999 bonus, Jackpot vibes. Plus, bonus treats 588p+388p at WinPlusph2.icu",spam,ham,spam
"Hurry! WinPlus Saturday special T.G.I.S! Enjoy Free 999 bonus, Jackpot vibes. Plus, bonus treats 588p+388p at WinPlusph2.icu",spam,ham,spam
"Seeking Sunday thrills? GoJackpot awaits! Win 50,000 in JILI SLOTS Tournament! New members, enjoy 1000p & First Deposit Bonus 177p at GoJackpotph20.icu",spam,ham,spam
"No.1 Online kingdom ng PINAS, may MILYONG kampyon kada araw! Dito yan sa PanaloKa, claim 316% bonus now! PanaloKa.tv",spam,spam,ham
slotsph.tv/sq4 Join now for free deposit money and a chance to win big. Your gaming adventure starts here.,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: play6.tw/tSv,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: bet37.tw/aB1,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: coin0.tw/tSv,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: win36.tw/wht,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: coin99.tw/7DfQd,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: win48.tw/2Hy,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: bet21.tw/1t5U,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: pin48.tw/1t5U,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: gamble6.tw/1t5U,spam,ham,spam
1000% Luck bonus on ₱1000 balance. Register: play72.tw/Snuf,spam,ham,spam
2.Mag-recharge ng 100p at makakuha ng 50K cash 1q2w3e7.ca,spam,ham,spam
Mag-recharge ng 100p at makakuha ng 50K cash 1q2w3e7.ca,spam,ham,spam
"[Epicwin]: Stay entertained with EpicWin's Daily Cashback!  Trusted Website: EpicWinsph1.eu  Dive into the action with a 5,000p Slot Welcome Bonus!",spam,ham,spam
Palakihin ang iyong mga kita gamit ang 100% Welcome Bonus Magdeposit ngayon at manalo ng malaki! website: EpcsWin.eu  maglaro ngayun!,spam,ham,spam
Palakihin ang iyong mga kita gamit ang 100% Welcome Bonus Magdeposit ngayon at manalo ng malaki! website: epcw.eu  maglaro ngayun!,spam,ham,spam
Join us this Saturday and win up to 999p Bonus! Don't miss out! WinPnow.eu Spin now at WinningPlus and win a Xiaomi 14! Don't miss out! ,spam,ham,spam
Palakasin ang iyong first deposit at maglaro ng more games with 100% bonus at may free red envelope.                                                               wi96.mobi          ,spam,ham,spam
"5JL  registration free 1777 bonus, maaari kang sumalisa:                                                                                                           luck77.so          ",spam,ham,spam
Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la          ,spam,ham,spam
Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la          ,spam,ham,spam
WinningPlus is your key to a Honda Click 125i V3! Get up to 100% bonus and 588p + 388p bonus as a new member. Sign up at Wplusmegaph.de today!,spam,spam,ham
"88ph.so UNLIMITED FUN-MAKE YOUR DAY MOAN-HUBARAN LIVE, JAKOL LIVE-EXCLUSIVE FREE ACCESS HERE AT PHP",spam,ham,spam
" [BDO Unibank]  Hello,  We have detected an unauthorized login attempt originating from the Philippines on your account. Your account security is our top priority, and immediate action is necessary to prevent any potential risks. Thank you for your swift response to this security alert.  visit here: t.co/IcEHUSej6K",spam,spam,ham
"Experience Friday Fever at GJPrefferal.de! Score a 6,888p Bonus and enter to win the VIVO V30 PRO 5G. Celebrate your Friday with a win!",spam,spam,ham
Celebrate GCash 10th Anniversary! Get a P1000 Top-up Voucher for only P399! Visit gcash-10-year.lc/G and join the fun! Offer ends July 31. Don t miss out!,spam,ham,spam
"Winning Plus Tuesday Slots: Win Oppo Reno 11 Pro 5G + 512GB worth 31,999p + 30% daily bonus. Register now at Wplayace.de .",spam,spam,ham
"Don't miss out on your chance to win big! Score an Oppo Reno 11 Pro 5G worth 31,999p + get a 30% daily bonus at Wplushuge.de! Join the excitement now!",spam,ham,spam
"We have received your interest in applying for a Credit Card with NO ANNUAL FEE FOR LIFE  If you would like to proceed with your credit card application approval, kindly send only 2 valid IDs to our processing team via VIBER --> 09669346415  Once we receive your IDs, please wait for our verification call.",spam,ham,spam
"Friday fun is here! Enjoy 6,888p + 6,888p at GJP PH's Payday Blast. New members get 3000p at GJSlots.de . Don't wait, join now!",spam,ham,spam
"G Cash Advisory!  Our system detected unrecognized login attempts to your G Cash. As a precaution, your G Cash was suspended for 24 hours. To resolve this issue,  Visit: glife.money/G-Cash",spam,ham,spam
