text,True_Label,Prediction_Model1,Prediction_Model2
"O.  Thanks for your trust in Smart! you will have P1555 for slot ,  Web: will-s.life",spam,ham,ham
Kumusta Lodi! Nakapag register kana ba? Mag Register na kung hindi pa! And get your 120% Welcome B0NU$ FREEPLAY! Sali na! appraisalassociatesark.com/Join,spam,ham,ham
"Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3tZBIuD",spam,ham,ham
"Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3U9RA8v",spam,ham,ham
"ESugal hindi na need pumunta CASlNO, pIay online at manalo araw araw, upto 8888 na welcome B0NUS. Web: pinas-b.life",spam,ham,ham
"A) An Exclusive and Prestigious Wack wack Neighborhood, where your wellness to us matters  Soon to Rise Shangrila Wack-wack 1 Bedroom - 85sqm 2 Bedroom - 145sqm 3 Bedroom - 231sqm  B) The Rise Makati Shangrila along Ayala Ave RFO w/P1.2M (19% disc.) 3 units left  www.shangrilasidences.com  Message now ",spam,ham,ham
"d! True Baraha!To celebrate the World Cup ,we prepare more events and B0NUS  up to 88888!!! web: pinasl.life",spam,ham,ham
"10,000 USDT for participating in the Experience Trading Sharing Contest!https://t.co/cyhM4iQRdg",spam,ham,ham
"l! True Baraha!To celebrate the World Cup ,we prepare more events and B0NUS  up to 88888!!! web: baraha-e.site",spam,ham,ham
M0nday na! Bigyan natin ng suwerte ang araw mo ngayon! Dahil dito kay bartargame.com/Live may Daily B0nu$ at chance mo pa mag T0P 1! Pinipilahan ng lahat!,spam,ham,ham
"Sign up for the world Get 2022 World Cup benefits , receive 3000 free, withdrawals in seconds: http://pesc.pw/4nn27r",spam,ham,ham
"Withdrawal code: 831094. If this was not you, cancel here: https://cancel35202119-binance-com.web.app",spam,ham,ham
"Bagong balita! Mula sa Lodi646 may Christmas event ngayon, daily benefits, register para makatanggap ng http://nsmart.pro",spam,ham,ham
<REAL NAME> What's up winningplus members! Refer your friend and get your 400P daily! What are you waiting for? Message us now wplusplay.com/7777FIFA,spam,ham,ham
Happy Monday Lodi! Lunes na at 5 days nalang pasko na! Maraming handog na pamasko ang breakingnewsmanila.com/Game sayo! Ayain ang barkada at mag register na!,spam,ham,ham
"<REAL NAME>, Have a Merry Christmas here at W+! there is a christmas raffle and you can win money up to 300k! and other prizes join now! wfifanow.com/7777FIFA",spam,ham,ham
Happy Thursday LODI at Merry Xmas sayo! Maraming papremyo ang naghihintayo sayo dito! Register now and get your free golden egg! breakingnewsmanila.com/Game,spam,ham,ham
Halika at tumanggap ng 50MBG spree nang libre!.Google play or APP store search for mybitglobal to download apps,spam,ham,ham
"<REAL NAME>, Everyday is Lucky here W+! Earn more than Php400 up to .5% weekly commission rate! Click our website! winplusrich.com",spam,spam,ham
"jackpot! Ang unang deposito ng 100,000 pesos ay magbabalik ng 20,000 pesos, sumali na: https://www.777pub.pub/?agentid=10007604",spam,ham,ham
"<REAL NAME>, Dito wala kang talo! Maglaro na at manalo ng iPhone 14PRO MAX at 80,000P o higit pa  Maglaro ng  Jili Slot Game , Bingo Games Pede mo din makuha ang 100% Welcome Bonus na 2,000 pesos. Maglaro na ! jackpotcity20bonus.com ",spam,ham,ham
"Binabati kita! Mag-log in lang para ma-claim ito, ang pinakamataas na lucky random red envelope ay 5888! http://asias.poker",spam,ham,ham
"Good News! <REAL NAME>, Get UNLIMITED REBATE anytime in JILI only here at SBET! Click and Register here @ sbetfreedraw.com",spam,ham,ham
"Legit 0NLINE CASIN0 ba ang hanap mo? Dito kana sa pinakamalupet at Nakakarelax Relax na showbiztoday.net/LiveApp Register now and WlN up to 2.7m, Let Go!!",spam,ham,ham
"<REAL NAME>, Get more than you were looking for at JACKPOTCITY The #1's BEST ONLINE GAMING! up to P1000 CASH BACK! Register now: jackpotcitybetwin.com",spam,ham,ham
"<REAL NAME>, Come Play & WIN in JACKPOTCITY!   Make sure to sign up & get unlimited Daily Rebate up to .6% and play to earn money !   click here  jackpotcityrichs.com",spam,ham,ham
"<REAL NAME>, JackpotCity gives you 10% Daily Cashback Up to Php1,000! Play live casino and slots! Join now jackpotcityph7.com",spam,ham,ham
"<REAL NAME>, You have P2000 when you Register and make your 1st Deposit. Sign  up now here at buobetpromo.com",spam,ham,ham
Get 2888 ₱ for free. Click; https://xt5746.com ,spam,spam,ham
"GCASH Advisory: Your account is temporarily on-hold, due to security purposes. Kindly verify here https://iplogger.org/GCASHVerification",spam,ham,ham
"<REAL NAME>, Play with friends and EARN MORE THAN PHP250! Referral BONUS only for you & your close. Click now wpluswow.com",spam,ham,ham
"<REAL NAME>, Lucky Monday! Play slots & fishing, Get 50% Daily Deposit Bonus up to Php1,000 ! Sign-up today winningplusph.com",spam,ham,ham
"Hey <REAL NAME>, what's up? Get FREE SPIN at W+ when you log in today! Start winning big! surewinph1.com ",spam,ham,ham
Dont be a stranger  you mean the world to us   GET your bonus  up to 3000P https://fils.win,spam,ham,ham
Dont be a stranger  you mean the world to us   GET your bonus  up to 3000P 09995281393,spam,ham,ham
"Hello, no deposit, free 1989 P bonus, please login   https://kaa9867.com",spam,ham,ham
Your #BDO Account is under review Please make sure you have completed verification process here gg.gg/online-bdo-com to avoid Deactivation.,spam,ham,ham
"Hi, immediately withdraw 1999 p for free. login.   https://hya568.com",spam,ham,ham
"<REAL NAME>, Complete daily tasks to get 1000 free! Unlock VIP plan to get even more daily bonuses! unibetpromo.com",spam,ham,ham
"Milyun-milyong manlalaro ang sabay-sabay na online, magrehistro kaagad para makakuha ng 8-888P http://fpin.u.dwx1.sbs/kOCJf6s",spam,ham,ham
[BDO-ALERT]: Your account is on hold please verify here: https://bdo-updateadvisoryph.com/BDOOnline if your registered number is still active,spam,ham,ham
[BDO-ALERT]: Your account is on hold please verify here: https://bdo-updateadvisoryph.com/BDOOnline if your registered number is still active,spam,ham,ham
C0ngratulat1on  https://th676.xyz  1kaw @ng masuwerteng nanal0 m@g s1gn up at kun1n @ng P 1999 ngay0n,spam,ham,ham
"Your loan is waiting for you! Download now for instant approval:  cashbee.ph/app/cnid ,search CASHBEE in google/IOS. (send stop to9480388467), DTI160293S23",spam,ham,ham
"<REAL NAME>, Spin to win a BMW X5 4.89 million at BETFIL! Get your FREE LUCKY SPIN until April 21! betffilph2.com",spam,ham,ham
Nakarehistro sa 8888  https://gamebet.li/j48,spam,ham,ham
"<REAL NAME>, Don't missed the Continuous sign-in rewards, Up to 55,555 unibetwins0.com",spam,ham,ham
"<REAL NAME>, Experience the thrill of W+ and get .6% UNLIMITED DAILY REBATE + PHP 66,000 BONUS! VIP URL: wplusjoin1.com",spam,ham,ham
"Top Casino Bingo, Slots, Geely Users Mag sign Up upang Magpadala ng Cash 66 (http://pfjh.store)",spam,ham,ham
[BDO-ALERT] Your account is on hold please verify here: www.onlinebdo-banking.online if your registered number is still active.,spam,ham,ham
"<REAL NAME>, Baka dito ka na swerte, tara register ka na sa funplay88.online",spam,ham,ham
"100% na cashback para sa mga bagong dating, hanggang P19800! Magparehistro at mag-claim ngayon! v.ht/7Rar7",spam,ham,ham
BDO-ALERT : Your registered mobile number needs to be updated. Please update here: https://shortener.live/BDOUpdate to continue receiving One-Time Pin(OTP). ,spam,ham,ham
"<REAL NAME>, Unlimited Rebates will be yours up to 1.5% now! Sign up and Join at UNIBET now! unibonu2.com",spam,ham,ham
BDO Advisory:  Your number is on hold if your number still active. please verify here my-bdo-online.com,spam,ham,ham
"<REAL NAME>, Online Casino, 188 pesos received after first deposit, 1000 pesos upon daily login, includs Slots, Fishing, Card games, Sports, Baccarat and ot URL:kt777ad2.com",spam,ham,ham
"20M+ Jackpot Prize! Gusto mo bang maging susunod na mananalo? Sumali ngayon sa http://phgames.cyou/WIg at Lucky Wheel: hanggang 100,000PHP na bonus araw-araw!",spam,ham,ham
"<REAL NAME>, Hi there! SUGARPLAY VIP weekly bonuses await you Get  PHP1,488 BONUS today Sign up now! sbdito2.com",spam,ham,ham
"<REAL NAME>, Don't miss out on WINNINGPLUS exclusive sabong rebate promotion! Get .6% bonuses today! wp1vip.com",spam,ham,ham
"Araw-araw na suweld0 5000, kai1angan lang ng 1-2 oras sa is@ng araw, magbayad sa pareh0ng araw, magdagdag ng  https://m5.gs/R3R1d0",spam,ham,ham
"Araw-araw na suweld0 5000, kai1angan lang ng 1-2 oras sa is@ng araw, magbayad sa pareh0ng araw, magdagdag ng  https://m5.gs/R3R1d0",spam,ham,ham
"<REAL NAME>, Experience the thrill at JackpotCity! Enjoy a 5% USDT Deposit Bonus for PHP100 only. Join now jpcroyal3.com",spam,ham,ham
"<REAL NAME>, Get 5% Deposit bonus using PAYMAYA at UNIBET! Invite friends to UNIBET and earn up to PHP70,000! unibet4.com",spam,ham,ham
"<REAL NAME>, Get the best deals at UBET: 2000 Bonus & 5% USDT Deposit Bonus! visit ubetfun.com",spam,ham,ham
"4-9Y Club, the recharge and withdrawal channel is safe, stable and fast. There are 66 giveaways every day. Download the APP to send 38. Come to {9y9 4. com}, there are many surprises. Participate in lucky roulette draw iPhone14 and 8888 bonus every day",spam,ham,ham
"<REAL NAME>, Level up with GCash on U B E T: Get 100% Bonus up to P2000 + 3% bonus! Visit uninowph0.com",spam,ham,ham
FREE 5% gamit ang MAYA?Claim mo na ngayon!Sign up ka na mn.p99b.xyz/jfnejcu6,spam,ham,ham
"Sign in bonus 888P, receive it at 99 game mn.p99b.xyz/cbmebbd3",spam,ham,ham
"Na-claim mo na ba ang iyong pang-araw-araw na bonus? sa 99 game, mayroon ding lucky wheel mn.p99b.xyz/bbneuch2",spam,ham,ham
gud morning po🌤️ Foodpanda po🐼🐼🐼 On my way 🛵🛵🛵,spam,ham,ham
gud afternoon po🌤️ Foodpanda po🐼🐼🐼 On my way 🛵🛵🛵,spam,ham,ham
BDO Advisory:  Your account will get locked. Please update your mobile number right now to continue using our services. Click here: my-bdo-advisory.click,spam,spam,ham
"71-9Y Game Club Google search {9Y1 5.C OM}, Gcash recharge to get 3%, recharge 100 to get 200, recharge every day to get 66, sign in bonus to get 35, lucky roulette draw 8888 and iPhone14 every day",spam,ham,ham
" 134-9Y game hall. {9y15. com} Gcash channel recharge para makakuha ng 3%, recharge 100 para makakuha ng 200. Mag-recharge araw-araw para makakuha ng 66. Mag-sign in at makakuha ng 35. Lucky roulette draw 8888 at iPhone14 araw-araw",spam,ham,ham
"Hello, sir/mam you have been selected for a part-time job with a daily salary of 3000-8000. Contact? WS? for consultation : http://9cb.life/44M6Z",spam,ham,ham
"Kakauwi ko lang galing abroad, walang kaibigan. Pwede ba tayo maging friends? Nag-send ak0 ng random.  What''sapp +639311895713",spam,ham,ham
"Hello, sir/mam you have been selected for a part-time job with a daily salary of 3000-8000. Contact? WS? for consultation : http://9cb.life/44M6Z",spam,ham,ham
DEVREG Send this message to BPI to confirm your request. GwgAKLdFgKwsqzxlun6DoyIvQ33LP1yUVgyMQC7yADy3EzxyfC8ESmGphjem,spam,ham,ham
"64-Google enters the {9y1 5.c om} electronic game hall and gives 3% for gcash recharge, 66 for daily recharge, 35 for sign-in, lucky roulette draw 8888 and iPhone14 every day,",spam,ham,ham
"61-Google enters the {9Y1 5.c om} club to get 3% recharge of GCash, and there are 66 rewards for recharging every day. Sign in with 35. Recharge 100 to get 200. There are lucky roulette draws 8888 and iPhone14 every day",spam,ham,ham
"134-Google comes to the game hall {9y1 5.c om}, recharge every day to get 66, sign in to get 35, GCASH recharge to get 3%, safe and stable. Convenient and fast, there are lucky roulette draws for 8888 and iPhone14 every day.",spam,ham,ham
"73-Google search {9y1 5.c om}, Gcash recharge is safe and stable and get 3%  Recharge 100 to get 200, recharge every day to get 66p, lucky roulette draw 8888 and iPhone14 every day, sign in to get 35, only need 1X turnover",spam,ham,ham
"<REAL NAME>, Level up your wins at GOJACKPOT with a 3% GCash deposit bonus! Don't miss out on this amazing offer. jpcbet2.com",spam,ham,ham
"29-Google search {9y1 5.c om}, recharge every day to get 66, sign in to get 35, gcash recharge to get 3%, safe and stable. Lucky roulette draw 8888 and iPhone14 every day",spam,ham,ham
"121-Today is the every 9 event of 9y Game Club, recharge 100 and get 300 free. Recharge 50 to get 100. Google enters {9Y1 5.c om}. Lucky roulette draw 8888 and iPhone14 every day",spam,ham,ham
"<REAL NAME>, Unleash the sweetness at SugarPlay with the VIP overload promotion! Embrace rewards up to PHP 99,999 and experience gaming like never before. Visit sugarbetonline3.com",spam,ham,ham
Nakuha mo ung pera?,spam,ham,ham
#BDO Unibank: Your account will be deactivated permanently if you failed to confirm your account verification here https://my-bdoupdates.com/confirm,spam,ham,ham
"Your BDO-Online Account ""Locked"" for security reasons. Please complete your verification process here: my-bdo-reportph.online to avoid Deactivation.",spam,ham,ham
"Yasss, eto ang FREEBONUS P5,000 para lang sayo! Mag-login sa http://pisogo.beauty/MpQ para makuha ito!",spam,ham,ham
"BASKETBALL FAN KA BA?!  Fr.ee Live Watch FIBA, NBA...ATBP  Sign up&get 850P  arenaplusapp.onelink.me/lzgM/nnkm6yhb  Download na sa AppStore/ Google Play",spam,ham,ham
"Mag-sign up para makakuha ng 177P, at ang maximum na rebate para sa pagsali sa ahente ay 1.0%:   https://tg777.zone/?a=428232",spam,ham,ham
"Mag-sign up para makakuha ng 177P, at ang maximum na rebate para sa pagsali sa ahente ay 1.0%:   https://tg777.zone/?a=428232",spam,ham,ham
Magrehistro online para sa mga laro ng slot at makakuha ng P77: https://233704.store,spam,ham,ham
Magrehistro online para sa mga laro ng slot at makakuha ng P77: https://233704.store,spam,ham,ham
I just got 777 B0NUS at W19 Games ! Just sign up and try now! w19w8.xyz,spam,ham,ham
Casino  sabong Slots Bingo Fish Free 1888P Good Luck Simulan ang Pagsali sa https://a22.pw/#,spam,ham,ham
Malugod kang tinatanggap ng PWIN777! Ang mga bagong miyembro ay maaaring magtamasa ng 100% benepisyo sa kanilang unang deposito na P197! p777a1.xyz,spam,ham,ham
"Good day I'm Mr.Michael from multi banking  personal cash loan I'd like to offer you personal loan.100k up to 5M Unsecured loan,and can get the loan as fast as 3 to 7 banking days .If you are interested please reply YES . Thank you. ",spam,ham,ham
Sumali na sa PWIN777! Exclusive member Red Envelope promo! Manalo ng hanggang P77777! p777b7.xyz,spam,ham,ham
Casino◎Roulette◎Fishing ◆◎◆ 979958.com ◆◎◆ ◆Get it Now 1888P Cash◆ ,spam,ham,ham
"Una deposito ng 197,may kasamang 197,may pagkakataong manalo ng exclusive member Red Envelope na may halagang upto P77777 na premyo!  p777b16.site",spam,ham,ham
Kumuha ng 100% Deposit Bonus sa 177BET! Doblehin ang iyong deposito ngayon! Huwag Palampasin! 177betb.xyz,spam,ham,ham
"100% na bonus sa unang deposito, hanggang 177777P! 177betg.xyz",spam,ham,ham
"jollibee777 Register para makatanggap ng 98p, taya Maaari ka ring makakuha ng pulang envelope cash sa pamamagitan ng pag-sign in araw-araw https://m.82388.xyz",spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177beta.xyz,spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177betb.xyz,spam,ham,ham
Taos-puso kang iniimbitahan ng kumpanya ng 177BET na maging aming promoter! Ang sahod ay binabayaran araw-araw! Sana makasama ka sa amin! aa.177beti.xyz/Fsd57,spam,ham,ham
"Mga nangungunang laro sa casino, bingo, at mga s10t machine, magrehistro at mag-deposito ng P100 upang makatanggap ng 100% cashback award. p777b5.xyz",spam,spam,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177betj.xyz,spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177betm.xyz,spam,ham,ham
"lehris61@gmail.com, contact me with the email, ur number is unavailable. ",spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177beto.xyz,spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177beto.xyz,spam,ham,ham
Gawin ang iyong unang deposito ng 177P sa 177BET at makakuha ng 100% deposit bonus! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177betq.xyz,spam,ham,ham
GCASH is always available and stable here in Sigebet! Sign up now and get up to 100free credits! sigebet1 dot com,spam,ham,ham
"NO ANNUAL FEE FOR LIFE!!!  Are you a Creditcard holder from other bank??  Gusto mo ba ng mas mataas na credit limit?  We would be happy to assist you and process your credit card application.  * NO annual fee lifetime * NO processing fee * Secured personal details   WE OFFER :  METROBANK CREDITCARD EASTWEST CREDITCARD RCBC CREDITCARD  KINDLY REPLY ""YES FULLNAME"" and we will call you.",spam,ham,ham
Loan?PMme,spam,ham,ham
Magrehistro sa opisyal na online casino para makakuha ng 15P at mag recharge para makakuha ng 100% na engrandeng premyo na naghihintay para sa iyo bo6.xyz/yIv,spam,ham,ham
"Una deposito ng 100p,may kasamang 100p,may pagkakataong manalo ng exclusive member Red Envelope na may halagang upto P77777 na premyo! 04p7.xyz/4ABL",spam,ham,ham
"Mga nangungunang laro sa gambling house, bingo, at mga s10t machine, magrehistro at mag-deposito ng P100 upang makatanggap ng 100% cashback award risu.io/F0Zis",spam,ham,ham
Bibigyan ka ng MAYA ng 100% na bonus sa iyong unang deposito 177bets.xyz,spam,ham,ham
"PCSO Lotto official data enquiry and result analysis, download                                                                                 luckystar.ph to get the free lottery tickets , maximum lottery win of p100 million!",spam,ham,ham
